Dive Number,GF Minimum,GF Maximum,Surface Interval (min),Imperial Units,Start Battery Voltage,Start CNS %,Start Date,Start External O2 Sensor Status,Start Low Set Point,Start High Set Point,Computer Firmware Version,Max Depth,Max Time,Error History,End Battery Voltage,End CNS,End Date,End External O2 Sensor Status,End Low Set Point,End High Set Point,Computer Serial Number,Computer Firmware Version,Computer Model,Log Version,Deco Model,VPM-B Conservatism,Start Surface Pressure,End Surface Pressure,Product
29,40,85,7,True,3.8,0,7/10/2024 10:36:01 AM,False,0,1,86,40.7,1701,,3.8,0,7/10/2024 11:04:17 AM,False,0,1,984FCD68,86,2,13,GF,40/85,1008,1008,Peregrine
30,40,85,4226,True,3.8,0,7/13/2024 9:28:42 AM,False,0,1,86,33.5,3606,,3.8,0,7/13/2024 10:28:43 AM,False,0,1,984FCD68,86,2,13,GF,40/85,1011,1011,Peregrine
31,40,85,103,True,3.8,0,7/13/2024 12:11:16 PM,False,0,1,86,36,2544,,3.8,0,7/13/2024 12:53:35 PM,False,0,1,984FCD68,86,2,13,GF,40/85,1010,1010,Peregrine
32,40,85,1516,True,3.8,0,7/14/2024 2:08:11 PM,False,0,1,86,28.1,3981,,3.8,0,7/14/2024 3:14:27 PM,False,0,1,984FCD68,86,2,13,GF,40/85,1014,1014,Peregrine
33,40,85,19067,True,3.8,0,7/27/2024 8:59:44 PM,False,0,1,86,46.1,2847,,3.8,0,7/27/2024 9:47:06 PM,False,0,1,984FCD68,86,2,13,GF,40/85,1009,1009,Peregrine
34,40,85,27088,True,3.8,0,8/15/2024 5:13:45 PM,False,0,1,86,9.400001,67,,3.8,0,8/15/2024 5:14:47 PM,False,0,1,984FCD68,86,2,13,GF,40/85,732,732,Peregrine
35,40,85,4,True,3.8,0,8/15/2024 5:18:10 PM,False,0,1,86,10.9,12,,3.8,0,8/15/2024 5:18:17 PM,False,0,1,984FCD68,86,2,13,GF,40/85,732,732,Peregrine
36,40,85,2,True,3.8,0,8/15/2024 5:19:57 PM,False,0,1,86,9.400001,42,,3.8,0,8/15/2024 5:20:34 PM,False,0,1,984FCD68,86,2,13,GF,40/85,732,732,Peregrine
37,40,85,43128,True,3.8,0,9/14/2024 4:07:49 PM,False,0,1,86,51,2431,,3.8,1,9/14/2024 4:48:15 PM,False,0,1,984FCD68,86,2,13,GF,40/85,1007,1007,Peregrine
38,40,85,3,True,3.8,1,9/14/2024 4:50:47 PM,False,0,1,86,25.6,616,,3.8,1,9/14/2024 5:00:58 PM,False,0,1,984FCD68,86,2,13,GF,40/85,1007,1007,Peregrine
39,40,85,1020,True,3.8,0,9/15/2024 9:59:33 AM,False,0,1,86,43.6,3552,,3.8,7,9/15/2024 10:58:40 AM,False,0,1,984FCD68,86,2,13,GF,40/85,1009,1009,Peregrine
40,40,85,18647,True,3.8,0,9/28/2024 9:44:54 AM,False,0,1,86,43.9,3498,,3.8,9,9/28/2024 10:43:07 AM,False,0,1,984FCD68,86,2,13,GF,40/85,1015,1015,Peregrine
41,40,85,27304,True,3.8,0,10/17/2024 9:45:43 AM,False,0,1,86,22.9,3473,,3.8,0,10/17/2024 10:43:30 AM,False,0,1,984FCD68,86,2,13,GF,40/85,1010,1010,Peregrine
42,40,85,23115,True,3.8,0,11/2/2024 11:57:27 AM,False,0,1,86,23.5,160,,3.8,0,11/2/2024 12:00:01 PM,False,0,1,984FCD68,86,2,13,GF,40/85,1012,1012,Peregrine
43,40,85,3,True,3.8,0,11/2/2024 12:02:35 PM,False,0,1,86,33.1,1793,,3.8,0,11/2/2024 12:32:23 PM,False,0,1,984FCD68,86,2,13,GF,40/85,1012,1012,Peregrine
44,40,85,120,True,3.7,0,11/2/2024 2:31:35 PM,False,0,1,86,21.1,280,,3.8,0,11/2/2024 2:36:10 PM,False,0,1,984FCD68,86,2,13,GF,40/85,1011,1011,Peregrine
45,40,85,5,True,3.7,0,11/2/2024 2:41:07 PM,False,0,1,86,28.1,213,,3.7,0,11/2/2024 2:44:34 PM,False,0,1,984FCD68,86,2,13,GF,40/85,1011,1011,Peregrine
46,40,85,4,True,3.7,0,11/2/2024 2:48:00 PM,False,0,1,86,27.6,207,,3.7,0,11/2/2024 2:51:22 PM,False,0,1,984FCD68,86,2,13,GF,40/85,1011,1011,Peregrine
47,40,85,21,True,3.7,0,11/2/2024 3:11:48 PM,False,0,1,86,35,1907,,3.7,0,11/2/2024 3:43:30 PM,False,0,1,984FCD68,86,2,13,GF,40/85,1015,1015,Peregrine
48,40,85,12802,True,3.7,0,11/11/2024 1:05:08 PM,False,0,1,86,44.8,3554,,3.7,0,11/11/2024 2:04:17 PM,False,0,1,984FCD68,86,2,13,GF,40/85,1015,1015,Peregrine
49,40,85,15763,True,3.7,0,11/22/2024 12:46:15 PM,False,0,1,86,58,2813,,3.7,1,11/22/2024 1:33:03 PM,False,0,1,984FCD68,86,2,13,GF,40/85,1011,1011,Peregrine
50,40,85,1418,True,3.8,0,11/23/2024 1:09:43 PM,False,0,1,86,46.8,2312,,3.8,0,11/23/2024 1:48:10 PM,False,0,1,984FCD68,86,2,13,GF,40/85,1013,1013,Peregrine
51,40,85,8425,True,4,0,11/29/2024 10:11:06 AM,False,0,1,86,31.2,3948,,4,0,11/29/2024 11:16:49 AM,False,0,1,984FCD68,86,2,13,GF,40/85,1014,1014,Peregrine
52,40,85,142,True,4,0,11/29/2024 1:37:44 PM,False,0,1,86,38.5,3697,,4,0,11/29/2024 2:39:16 PM,False,0,1,984FCD68,86,2,13,GF,40/85,1011,1011,Peregrine
53,40,85,12716,True,4,0,12/8/2024 10:34:20 AM,False,0,1,86,69.7,3562,,4,3,12/8/2024 11:33:37 AM,False,0,1,984FCD68,86,2,13,GF,40/85,1016,1016,Peregrine
54,40,85,40234,True,4,0,1/5/2025 10:06:21 AM,False,0,1,86,76.5,3240,,4,2,1/5/2025 11:00:16 AM,False,0,1,984FCD68,86,2,13,GF,40/85,1022,1022,Peregrine
55,40,85,8902,True,4,0,1/11/2025 3:21:35 PM,False,0,1,86,25.2,3955,,4,0,1/11/2025 4:27:25 PM,False,0,1,984FCD68,86,2,13,GF,40/85,1019,1019,Peregrine
102,40,85,77,False,3.8,2,3/19/2025 11:56:45 AM,False,0,1,86,20.1,2712,,3.8,5,3/19/2025 12:41:52 PM,False,0,1,984FCD68,86,2,13,GF,40/85,1009,1009,Peregrine
103,40,85,1286,False,3.8,0,3/20/2025 10:06:40 AM,False,0,1,86,9.2,3351,,3.8,0,3/20/2025 11:02:26 AM,False,0,1,984FCD68,86,2,13,GF,40/85,1009,1009,Peregrine
104,40,85,73,False,3.8,0,3/20/2025 12:14:19 PM,False,0,1,86,8.1,3233,,3.8,0,3/20/2025 1:08:07 PM,False,0,1,984FCD68,86,2,13,GF,40/85,1007,1007,Peregrine
105,40,85,5572,False,3.8,0,3/24/2025 9:59:20 AM,False,0,1,86,25.2,2904,,3.8,4,3/24/2025 10:47:39 AM,False,0,1,984FCD68,86,2,13,GF,40/85,1006,1006,Peregrine
106,40,85,99,False,3.8,2,3/24/2025 12:25:55 PM,False,0,1,86,20.9,2721,,3.8,5,3/24/2025 1:11:11 PM,False,0,1,984FCD68,86,2,13,GF,40/85,1005,1005,Peregrine
107,40,85,1257,False,3.8,0,3/25/2025 10:07:02 AM,False,0,1,86,24.8,3015,,3.7,3,3/25/2025 10:57:12 AM,False,0,1,984FCD68,86,2,13,GF,40/85,1005,1005,Peregrine
108,40,85,80,False,3.7,2,3/25/2025 12:16:20 PM,False,0,1,86,15.9,2939,,3.7,2,3/25/2025 1:05:14 PM,False,0,1,984FCD68,86,2,13,GF,40/85,1003,1003,Peregrine
109,40,85,8582,False,3.7,0,3/31/2025 12:05:50 PM,False,0,1,86,29.9,3522,,3.7,5,3/31/2025 1:04:27 PM,False,0,1,984FCD68,86,2,13,GF,40/85,1006,1006,Peregrine
110,40,85,113,False,3.7,2,3/31/2025 2:57:01 PM,False,0,1,86,8.5,2977,,3.7,2,3/31/2025 3:46:33 PM,False,0,1,984FCD68,86,2,13,GF,40/85,1002,1002,Peregrine
111,40,85,1062,False,4,0,4/1/2025 9:27:06 AM,False,0,1,86,31.1,3048,,4,2,4/1/2025 10:17:49 AM,False,0,1,984FCD68,86,2,13,GF,40/85,1007,1007,Peregrine
112,40,85,96,False,4,1,4/1/2025 11:52:42 AM,False,0,1,86,26.6,3693,,4,7,4/1/2025 12:54:10 PM,False,0,1,984FCD68,86,2,13,GF,40/85,1005,1005,Peregrine
113,45,95,1268,False,4,0,4/2/2025 10:01:11 AM,False,0,1,86,13,3006,,4,0,4/2/2025 10:51:12 AM,False,0,1,984FCD68,86,2,13,GF,45/95,1009,1009,Peregrine
114,45,95,106,False,4,0,4/2/2025 12:36:35 PM,False,0,1,86,19.7,3159,,4,2,4/2/2025 1:29:08 PM,False,0,1,984FCD68,86,2,13,GF,45/95,1006,1006,Peregrine
115,45,95,130,False,4,1,4/2/2025 3:38:27 PM,False,0,1,86,2.2,3519,,4,1,4/2/2025 4:37:01 PM,False,0,1,984FCD68,86,2,13,GF,45/95,1007,1007,Peregrine
117,45,95,116,False,4,0,4/2/2025 6:38:15 PM,False,0,1,86,13.1,3078,,4,0,4/2/2025 7:29:28 PM,False,0,1,984FCD68,86,2,13,GF,45/95,1005,1005,Peregrine
118,45,95,885,False,4,0,4/3/2025 10:13:45 AM,False,0,1,86,29.5,2937,,4,5,4/3/2025 11:02:37 AM,False,0,1,984FCD68,86,2,13,GF,45/95,1009,1009,Peregrine
119,45,95,74,False,4,3,4/3/2025 12:16:10 PM,False,0,1,86,32.4,2239,,4,5,4/3/2025 12:53:24 PM,False,0,1,984FCD68,86,2,13,GF,45/95,1011,1011,Peregrine
120,45,95,1537,False,4,0,4/4/2025 2:29:30 PM,False,0,1,86,16.1,2734,,4,1,4/4/2025 3:14:59 PM,False,0,1,984FCD68,86,2,13,GF,45/95,1005,1005,Peregrine
121,45,95,2517,False,3.9,0,4/6/2025 9:11:09 AM,False,0,1,86,17.5,3293,,3.9,2,4/6/2025 10:05:57 AM,False,0,1,984FCD68,86,2,13,GF,45/95,1009,1009,Peregrine
122,45,95,70,False,3.9,1,4/6/2025 11:15:35 AM,False,0,1,86,18.5,3089,,3.9,4,4/6/2025 12:06:59 PM,False,0,1,984FCD68,86,2,13,GF,45/95,1007,1007,Peregrine
123,45,95,8990,False,3.9,0,4/12/2025 5:55:15 PM,False,0,1,86,15.1,3423,,3.9,0,4/12/2025 6:52:13 PM,False,0,1,984FCD68,86,2,13,GF,45/95,1005,1005,Peregrine
124,45,95,817,False,3.9,0,4/13/2025 8:28:01 AM,False,0,1,86,19.2,3644,,3.9,2,4/13/2025 9:28:40 AM,False,0,1,984FCD68,86,2,13,GF,45/95,1008,1008,Peregrine
125,45,95,70,False,3.9,1,4/13/2025 10:37:21 AM,False,0,1,86,18,3443,,3.9,4,4/13/2025 11:34:39 AM,False,0,1,984FCD68,86,2,13,GF,45/95,1006,1006,Peregrine
126,45,95,1258,False,3.9,0,4/14/2025 8:31:49 AM,False,0,1,86,19.7,3842,,3.9,4,4/14/2025 9:35:46 AM,False,0,1,984FCD68,86,2,13,GF,45/95,1008,1008,Peregrine
127,45,95,67,False,3.9,2,4/14/2025 10:42:07 AM,False,0,1,86,18.5,4221,,3.9,4,4/14/2025 11:52:23 AM,False,0,1,984FCD68,86,2,13,GF,45/95,1006,1006,Peregrine
130,45,95,104,False,3.8,0,4/21/2025 3:06:04 PM,False,0,1,86,11.9,3051,,3.8,0,4/21/2025 3:56:50 PM,False,0,1,984FCD68,86,2,13,GF,45/95,1004,1004,Peregrine
131,45,95,1215,False,3.8,0,4/22/2025 12:11:11 PM,False,0,1,86,18.3,2791,,3.8,1,4/22/2025 12:57:37 PM,False,0,1,984FCD68,86,2,13,GF,45/95,1007,1007,Peregrine
132,45,95,117,False,3.8,1,4/22/2025 2:54:05 PM,False,0,1,86,18.7,3603,,3.8,3,4/22/2025 3:54:03 PM,False,0,1,984FCD68,86,2,13,GF,45/95,1004,1004,Peregrine
133,45,95,1069,False,3.8,0,4/23/2025 9:42:19 AM,False,0,1,86,19.4,2539,,3.8,3,4/23/2025 10:24:33 AM,False,0,1,984FCD68,86,2,13,GF,45/95,1008,1008,Peregrine
