Dive Number,GF Minimum,GF Maximum,Surface Interval (min),Imperial Units,Start Battery Voltage,Start CNS %,Start Date,Start External O2 Sensor Status,Start Low Set Point,Start High Set Point,Computer Firmware Version,Max Depth,Max Time,Error History,End Battery Voltage,End CNS,End Date,End External O2 Sensor Status,End Low Set Point,End High Set Point,Computer Serial Number,Computer Firmware Version,Computer Model,Log Version,Deco Model,VPM-B Conservatism,Start Surface Pressure,End Surface Pressure,Product
173,45,95,373,False,3.9,0,6/3/2025 6:07:09 PM,False,0,1,86,8.2,2643,,3.9,0,6/3/2025 6:51:07 PM,False,0,1,984FCD68,86,2,13,GF,45/95,769,769,Peregrine
174,45,95,914,False,3.9,0,6/4/2025 10:03:44 AM,False,0,1,86,9,3300,,3.8,0,6/4/2025 10:58:39 AM,False,0,1,984FCD68,86,2,13,GF,45/95,766,766,Peregrine
175,45,95,101,False,3.8,0,6/4/2025 12:38:39 PM,False,0,1,86,13.9,2237,,3.8,0,6/4/2025 1:15:51 PM,False,0,1,984FCD68,86,2,13,GF,45/95,765,765,Peregrine
176,45,95,5670,False,3.8,0,6/8/2025 11:44:47 AM,False,0,1,86,8.7,3518,,3.8,0,6/8/2025 12:43:20 PM,False,0,1,984FCD68,86,2,13,GF,45/95,1013,1013,Peregrine
177,45,95,86,False,3.8,0,6/8/2025 2:08:46 PM,False,0,1,86,8.7,3983,,3.8,0,6/8/2025 3:15:03 PM,False,0,1,984FCD68,86,2,13,GF,45/95,1012,1012,Peregrine
178,45,95,6932,False,3.8,0,6/13/2025 10:46:26 AM,False,0,1,86,6.6,1327,,3.8,0,6/13/2025 11:08:28 AM,False,0,1,984FCD68,86,2,13,GF,45/95,1016,1016,Peregrine
179,45,95,6,False,3.8,0,6/13/2025 11:13:56 AM,False,0,1,86,8.5,3229,,3.8,0,6/13/2025 12:07:40 PM,False,0,1,984FCD68,86,2,13,GF,45/95,1016,1016,Peregrine
180,45,95,1730,False,3.8,0,6/14/2025 4:56:38 PM,False,0,1,86,15.3,3591,,3.8,1,6/14/2025 5:56:24 PM,False,0,1,984FCD68,86,2,13,GF,45/95,1012,1012,Peregrine
181,45,95,3789,False,3.8,0,6/17/2025 9:04:26 AM,False,0,1,86,13.5,2908,,3.8,0,6/17/2025 9:52:48 AM,False,0,1,984FCD68,86,2,13,GF,45/95,1015,1015,Peregrine
182,45,95,99,False,3.8,0,6/17/2025 11:31:14 AM,False,0,1,86,14,2679,,3.8,0,6/17/2025 12:15:48 PM,False,0,1,984FCD68,86,2,13,GF,45/95,1015,1015,Peregrine
183,45,95,11686,False,3.8,0,6/25/2025 3:00:36 PM,False,0,1,86,15.4,2445,,3.8,1,6/25/2025 3:41:16 PM,False,0,1,984FCD68,86,2,13,GF,45/95,1014,1014,Peregrine
184,45,95,10,False,3.8,1,6/25/2025 3:50:34 PM,False,0,1,86,4.9,227,,3.8,1,6/25/2025 3:54:16 PM,False,0,1,984FCD68,86,2,13,GF,45/95,1014,1014,Peregrine
185,45,95,41470,False,3.8,0,7/24/2025 11:03:23 AM,False,0,1,86,2.6,81,,3.8,0,7/24/2025 11:04:39 AM,False,0,1,984FCD68,86,2,13,GF,45/95,1018,1018,Peregrine
186,45,95,4,False,3.8,0,7/24/2025 11:08:16 AM,False,0,1,86,12.8,2601,,3.8,0,7/24/2025 11:51:31 AM,False,0,1,984FCD68,86,2,13,GF,45/95,1018,1018,Peregrine
187,45,95,29,False,3.8,0,7/24/2025 12:20:14 PM,False,0,1,86,8.1,2857,,3.8,0,7/24/2025 1:07:46 PM,False,0,1,984FCD68,86,2,13,GF,45/95,1017,1017,Peregrine
188,45,95,4196,False,3.8,0,7/27/2025 11:03:11 AM,False,0,1,86,21,2900,,3.8,5,7/27/2025 11:51:26 AM,False,0,1,984FCD68,86,2,13,GF,45/95,1016,1016,Peregrine
189,45,95,25,False,3.8,4,7/27/2025 12:16:18 PM,False,0,1,86,12.9,2714,,3.8,4,7/27/2025 1:01:27 PM,False,0,1,984FCD68,86,2,13,GF,45/95,1016,1016,Peregrine
190,45,95,14059,False,3.8,0,8/6/2025 7:19:35 AM,False,0,1,86,18.6,3230,,3.8,6,8/6/2025 8:13:20 AM,False,0,1,984FCD68,86,2,13,GF,45/95,1019,1019,Peregrine
191,45,95,63,False,3.8,4,8/6/2025 9:15:26 AM,False,0,1,86,14.4,4265,,3.8,4,8/6/2025 10:26:26 AM,False,0,1,984FCD68,86,2,13,GF,45/95,1020,1020,Peregrine
192,45,95,14430,False,3.8,0,8/16/2025 10:55:32 AM,False,0,1,86,8.7,2872,,3.8,0,8/16/2025 11:43:19 AM,False,0,1,984FCD68,86,2,13,GF,45/95,1013,1013,Peregrine
193,45,95,29,False,3.8,0,8/16/2025 12:11:41 PM,False,0,1,86,9.5,2823,,3.8,0,8/16/2025 12:58:39 PM,False,0,1,984FCD68,86,2,13,GF,45/95,1012,1012,Peregrine
194,40,85,51498,False,3.7,0,9/21/2025 7:16:09 AM,False,0,1,86,35.9,1487,,3.7,3,9/21/2025 7:40:51 AM,False,0,1,984FCD68,86,2,13,GF,40/85,1012,1012,Peregrine
195,40,85,53,False,3.7,2,9/21/2025 8:33:31 AM,False,0,1,86,18,868,,3.7,3,9/21/2025 8:47:54 AM,False,0,1,984FCD68,86,2,13,GF,40/85,1012,1012,Peregrine
196,40,85,129,False,3.7,1,9/21/2025 10:56:17 AM,False,0,1,86,13.8,626,,3.7,1,9/21/2025 11:06:38 AM,False,0,1,984FCD68,86,2,13,GF,40/85,1011,1011,Peregrine
197,40,85,34,False,3.7,1,9/21/2025 11:40:00 AM,False,0,1,86,4.4,1057,,3.7,1,9/21/2025 11:57:32 AM,False,0,1,984FCD68,86,2,13,GF,40/85,1010,1010,Peregrine
